item_title,item_description,item_url,item_component,item_price,store
Prime Doyenne 44 Carbon Disc Wheelset,"Ideal for races with rolling terrain and riding fast gravel routes, the Prime Doyenne 44 Carbon Disc Wheelset features a carbon fibre build with a 44mm rim depth and tubeless ready technology.
This versatile wheelset is feature-packed with technologies to upgrade the performance of your ride. It features two high-quality T700 unidirectional (UD) carbon fibre rims, which allow it to deliver the best balance of stiffness and durability, while also keeping the weight impressively low. Prime has also kitted out this version with a 44mm rim depth that offers smooth rolling properties with increased aerodynamics as you cut through the wind. It is a perfect companion for handling the demands of rolly races/riding and fast gravel.
Developed with Team Spectra
Developed with Team Spectra, the Prime Doyenne 44 Carbon Disc Wheelset has been put through the brand’s CFD testing process, where multiple sizes and shapes are trialled before coming up with the perfect blend of strength, weight and aerodynamics. As a result, you’ll benefit from Prime’s final product that you can trust and rely on thanks to its road testing by professional riders.
Combining SR2D, 36T Ratchet System, CNC machined 6061 alloy hubs with J-Bend Pillar PDB1415 spokes, this race-ready wheelset is all set for wherever your next ride takes you. It also uses Star Ratchet hubs to ensure superior reliability due to each of the ratchets engaging simultaneously every time.
Easy Maintenance and Tubeless Ready
Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. You’ll also benefit from tool-free freehub conversion for straightforward upgrades and preservation in the future.
Coming complete with tubeless ready technology, the Prime Doyenne 44 Carbon Disc Wheelset allows you to enjoy tubeless advantages such as the ability to run lower tyre pressures for increased traction, comfort and fewer chances of flats or punctures. This makes it a perfect upgrade for giving your ride a performance boost.
In The Box:
Tubeless Valves
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR2D 12mm Front End Caps Black 12mm
SR2D 12mm Rear End Caps Black 12mm
SR2D 15mm Front End Caps Black 15mm
SR2D QR Front End Caps Black QR
SR2D QR Rear End Caps Black QR
SR2D Disc Brake Rear Hub Grey 12 x 142mm
SR2D Front Axle Silver 12 x 135mm
SR2D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-doyenne-44-carbon-disc-wheelset,Shimano/SRAM HG,£419.99,wiggle
Fulcrum Wind 40 Disc Wheelset,"Built to send you on climbs, sprints and descents with unrivalled speed and stability, the carbon fibre Fulcrum Wind 40 road bike wheels give a rigid and responsive performance as you hit high speeds. Giving optimum crosswind stability from the 40mm rim depth and a superb surface contact area from their 27mm width, an assured and balanced feel is achieved on every ride.
Strong and Efficient Carbon-Fibre Road Wheels
Supported by a set of robust and reliable aluminium hubs, the Fulcrum Wind 40 Disc Wheelset benefits from a double butted stainless-steel spoke setup. The hubs also come with sealed cartridge bearings for minimised friction on the most challenging runs. With Two-Way Fit tubeless-ready compatibility improving cornering grip and puncture protection and disc brake optimisation for superior stopping power, this Wind 40 wheelset is a deep-rimmed and dynamic choice for hitting the road.",https://www.wiggle.com//p/fulcrum-wind-40-disc-wheelset,"Shimano/SRAM HG, SRAM XDR","£649.99 - £1,034.99",wiggle
Prime Doyenne 38 Carbon Rim Brake Wheelset,"Classed as a perfect all-rounder, the Prime Doyenne 38 Carbon Rim Brake Wheelset boasts a carbon fibre rim construction with tubeless ready technology and rim brake compatibility. As a result, it offers superb aerodynamics as well as incredible strength.
Engineered for the demands of modern road racing and riding, this versatile wheelset features a high-quality T700 unidirectional (UD) carbon fibre rim build. Its stiff and lightweight construction combined with 38mm rim depth, means that you’ll benefit from a superior strength to weight ratio as well as increased aerodynamics as you cut through the wind.
Developed with Team Spectra and Star Ratchet Hubs
Developed with Team Spectra, this wheelset comes equipped with a range of performance-enhancing technologies to help you perform at your best and upgrade your ride. Prime has used an SR2, 36T Ratchet System, CNC machined 6061 alloy hub body, so you can enjoy greater reliability due to each of the ratchets engaging simultaneously every time. Its incorporated notch also means that the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Due to this easy to use system, tool-free freehub conversion is possible should you choose to make changes to your setup in the future.
Rim Brake Compatible and Tubeless Ready
This road bike wheelset features rim brake compatibility, which keeps its weight reduced while also boosting its aerodynamic profile. Prime has also given it a tubeless ready design, so you can run tubeless tyres and enjoy performance advantages such as lower rolling resistance, increased traction and fewer risks of punctures. Coming complete with J-Bend Pillar PDB1415 spokes, the Prime Doyenne 38 Carbon Rim Brake Wheelset is an ideal choice of upgrade for conquering every mile of road.
In The Box:
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
SR2 Front Axle Silver QR
SR2 Front End Caps Black QR
SR2 Rear Axle Silver QR
SR2 Rear End Caps Black QR",https://www.wiggle.com//p/prime-doyenne-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£399.99,wiggle
Prime Primavera 56 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for flat road races as well as time trial and triathlon racing. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 56 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-56-carbon-disc-wheelset,Shimano/SRAM HG,£649.99,wiggle
Prime Primavera 85 Carbon Rim Brake Rr Wheel,"Wider = Improved Performance
Developed with Team Spectra, this race-ready rear wheel features an 85mm deep aero rim profile, meaning you get more speed for the same effort. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 85’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using a SR1, 36T Ratchet System, CNC machined 6061 alloy hub and DT Swiss straight pull spokes, this model creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Aero Advantage
If you’re looking for an advantage in your next TT or Triathlon event, the Prime Primavera 85 Carbon rear wheel is a perfect choice of upgrade to improve your ride.
Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before they settled on the new and improved Primavera 85 rim. But that’s not all, they’ve upgraded to a higher grade of carbon, saving precious grams, and improving on the impact strength/weight ratio making the new Primavera 85 their best rim yet.
In The Box:
x4 spare spokes and nipples
Tubeless Valves
QR skewers
10 speed spacer
Prime Carbon brake pads
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-85-carbon-rim-brake-rr-wheel,Shimano/SRAM HG,£349.99,wiggle
Prime Primavera 44 Carbon Disc Wheelset,"Developed with Team Spectra in search of the marginal gains that could help them in some of the UK’s biggest races, this wheelset is designed for rolly races and riding as well as fast gravel. Featuring a stiff and lightweight T800 UD carbon fibre rim construction, this model provides an excellent strength-to-weight ratio to give you maximum smoothness without adding any unnecessary excess grams to your ride. Prime has also put this version through its CFD testing process, where multiple sizes and shapes were used before coming up with the perfect blend of strength, weight and aerodynamics.
Greater Strength To Weight Ratio
Built-up using an SR1D, CNC machined 6061 alloy hub body and DT Swiss straight pull spokes, the Prime Primavera 44 Carbon Disc Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible. Coming kitted out with an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier.
Tubeless Ready Carbon Wheelset
Developed to give modern riders and racers a much-needed performance upgrade, this wheelset comes kitted out with tubeless ready technology. This means that you can choose to run it tubeless and enjoy advantages such as the ability to run lower tyre pressures for increased stability, comfort and fewer chances of flats or punctures.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-44-carbon-disc-wheelset,Shimano/SRAM HG,£539.99,wiggle
Prime Primavera 38 Carbon Rim Brake Wheelset,"Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before it settled on its new and improved Primavera 38 rim. But, that’s not all, the brand has upgraded to a higher grade of carbon, saving 40g per rim, and improving on the impact strength/weight ratio making the new Primavera 38 their best rim yet.
Wider = Improved Performance
The Prime Primavera 38 Carbon Wheelset features a 38mm deep aero rim profile to deliver benefits across multiple yaw angles. A wider rim profile creates a more linear contour with the tyre to increase the Primavera 38’s aerodynamic properties.
Greater Strength To Weight Ratio
Built up using the R010 CNC machined 7075 hubset and DT Swiss straight pull spokes the Prime Primavera 38 Carbon Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity.
Shave The Seconds
If you’re looking for an upgrade to shave the seconds away, the Prime Primavera 38 Carbon Wheelset is the wheelset you need to tame any terrain.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
SR1 Front Axle Silver QR
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed
Prime Lifetime Crash Replacement Programme
At Prime we understand that a crash or unexpected accident may occur under normal riding conditions. If in the event of a fall or accident where your Prime product sustains damage beyond repair, you can return the damaged component in exchange for a new product at 40% off the RRP.",https://www.wiggle.com//p/prime-primavera-38-carbon-rim-brake-wheelset,Shimano/SRAM HG,£539.99,wiggle
Fulcrum Racing 6 Disc Road Wheelset,"Guaranteeing performance and reliability at a budget-friendly price, this road bike wheelset is fine-tuned for smooth performance wherever your ride takes you. Thanks to its hard-wearing aluminium rims, it provides excellent strength and durability as you clock up the miles. Fulcrum has also equipped this model with 24 stainless steel, straight-pull spokes and brass nipples for increased rigidity as you put the power down. Coming complete with sealed cartridge bearings, disc brake compatibility and a range of ride-enhancing technologies, this is a great choice for dependable performance at an affordable price.
The great versatility of these wheels, whether training or on road rides with a gravel bike, is ensured by the updated low profile 24mm aluminium rims and an inner rim channel of 20mm, with the 2 Way Fit system.
The technical specifications of the Racing 6 DB ensure that they excel in different situations, climbing as well as windy conditions, and they can also fit wider tyres, clincher or tubeless (tubeless tape installed and valves included).
2-Way Fit Technology
2-Way Fit profile for tubeless and clincher. Tubeless technology was first used by the auto industry, then by motorcycles and now has reached the cycling industry. After its debut with mountain bikes the moment has come to “put it on the road”, and that’s what Fulcrum propose to do. The brand has developed its 2-Way Fit technology to ensure the perfect compatibility of its tubeless rims with normal clincher types and tubes. 2-Way Fit road bike wheels are perfectly multipurpose for tackling every situation. Thanks to a special impression in the valve area, the tubes are fitted with maximum precision while keeping the tube perfectly stable inside the tyre. Housing the valve for tubeless tyres is also risk-free, with the unquestionable advantage that there are never any air infiltrations caused by non-ideal positioning when fitting.
AFS Axle System
The Axial Fixing System is the solution developed by Fulcrum to fix the disc brake to the hub. The constraint granted by the butt area of the release mechanism, greater than in familiar standard ones, makes it possible to obtain greater structural rigidity and therefore more precise and powerful braking.
F.I.C 100% Handmade Quality
Fulcrum Identification Card (F.I.C) 100%handemade quality. Right from its inception, Fulcrum has been marked by a feature that continues to this day: that is to design, prototype and industrialise all the wheels characterised by the red “F”. Indeed these take shape inside of the R&D, the leading-edge department that represents the beating heart of the Italian company. Every single component of the wheel, the materials chosen and the technologies applied are the tangible result of the effort that Fulcrum makes every day to give you maximum performance and reliability.
Additional Item Top Features:
Rims
Tyre Type: Clincher
Rim Height Category: Low
Tyre Size: 700c
Tyre Width: From 25mm to 50mm
Inner Rim Width (Channel): 20mm
ASTM Category: 2
Weight Limit: 120kg (system)
Spokes
Front Wheel Spokes: 24 (16 left - 8 right)
Rear Wheel Spokes: 24 (8 left - 16 right)
Spokes Material: Stainless Steel
Spokes Profile Technology: Rounded, Straight-pull
Nipples: Brass
Hubs
Front Hub: Aluminium, Aluminium flanges
Rear Hub: Aluminium, Aluminium flanges
Bearings: Sealed cartridge bearings
Freehub: Shimano HG11
Manufacturer’s Part Number:
FULCWF3960AP1A110 Black 700c Shimano 11sp",https://www.wiggle.com//p/fulcrum-racing-6-disc-road-wheelset,"Campagnolo 13sp, Shimano 11sp, SRAM XDR",£139.99 - £243.99,wiggle
Prime Primavera 50 Carbon Rim Brake Wheelset,"Lightweight Rim
Prime has experimented with numerous types of resin and tested countless new lay ups before it settled on its new and improved Primavera 50 rim. But, that’s not all, the brand has upgraded to a higher grade of carbon, saving precious grams, and improving on the impact strength/weight ratio making the new Primavera 50 their best rim yet.
Wider = Improved Performance
The Prime Primavera 50 Carbon Wheelset features a 50mm deep aero rim profile to provide strong aerodynamic properties by reducing the amount of turbulence when the air meets the spokes. The Primavera 50 combines this with a wider rim profile to create a more linear contour between the tyre and rim interface, reducing rolling resistance and creating a greater contact patch for greater stability in corners.
Greater Strength To Weight Ratio
Built-up using an SR1, CNC machined 6061 alloy hub body and DT Swiss spokes, the Prime Primavera 50 Carbon Wheelset creates a stiffer wheel with a greater strength to weight ratio and more reactivity. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Its Star Ratchet hub also provides superior reliability, due to each of the ratchets engaging simultaneously every time. Prime has also ensured that tool free freehub conversion is possible.
Crush The Competition
If you’re wanting to beat all your personal bests, the Prime Primavera 50 Carbon Wheelset has everything you need to conquer the climb or wreck the competition on the flats.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
Prime Carbon Brake Pads
Spares (available separately)
SR1 Front Axle Silver QR
SR1D QR Front End Caps Black QR
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1 Rear Axle Silver QR
SR1 Rear End Caps Black QR
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-primavera-50-carbon-rim-brake-wheelset,Shimano/SRAM HG,£599.99,wiggle
Fulcrum Wind 40c Clincher Road Wheelset,"Constructed to carry you through training rides and rapid races with power and pace, the excellent Fulcrum Wind 40c pushes its 40mm deep carbon rims to the limit to keep you rolling steadily and quickly for every rampant run.
Fast-Rolling Carbon Fibre Road Wheels
Featuring a special AC3 treated, 3K carbon braking surface, both rims on the Fulcrum Wind 40c Clincher Road Wheelset ensure a powerful stopping performance, giving consummate control as you ride at thrillingly high speeds. Spinning on a pair of aluminium hubs, the wheels also benefit from smooth spinning sealed cartridge bearings and strong straightpull spokes for a stiff and strong structure, however hard you ride.",https://www.wiggle.com//p/fulcrum-wind-40c-clincher-road-wheelset,Shimano/SRAM HG,£999.99,wiggle
Prime 343 Carbon Rear Disc Wheel,"This carbon disc rear wheel is stiff, strong and lightweight. It’s engineered to provide exceptional aerodynamic efficiency and gives you faster straight-line speeds and greater stability in all riding conditions. Plus, this wheel is tubeless-ready, which significantly reduces the risk of punctures, but that’s not all, the rolling resistance is lower and thanks to being able to use lower pressures, cornering grip is much better.",https://www.wiggle.com//p/prime-343-carbon-rear-disc-wheel,Shimano/SRAM HG,£489.99 - £699.99,wiggle
Fulcrum Racing 5 Disc Road Wheelset,"Ready for long days on the road, this wheelset is equipped with a hard-wearing aluminium rim construction, which offers an excellent combination of strength, durability and performance as you clock up the miles. Fulcrum has also kitted out this model with an asymmetric rim design that’s engineered to improve rim tension, balancing the forces from your disc brakes and sprocket cassette. Another highlight is its 24 rounded straight-pull stainless steel spokes, which ensure smooth and stable rolling performance as you go the extra distance. Coming complete with sealed cartridge bearings and many of the brand’s finest technologies including 2-Way Fit, this is a great choice of upgrade for low rolling resistance, increased grip and greater protection thanks to its tubeless compatible design.
Endurance Road Bike Wheelset
The Racing 5 DB wheels are the perfect choice for endurance bikes. The lower aerodynamic resistance and decreased stiffness, achieved with the lower 24mm U-shaped profile, makes them the ideal technical choice for long rides without having to worry about climbing, rain or wind, with a consequent saving in energy and increased comfort.
2 Way Fit Ready Technology
In this case to the aluminium rim has seen an increase in the inner channel width, up to 20mm from the previous model’s 17mm, and the addition of the innovative 2 Way Fit system, to comfortably fit 25-28 mm tyres, both clinchers and tubeless (tubeless tape installed and valves included).
Laser-Etched Graphics
The aesthetics have undergone the same intervention as the Racing 4 DB model, with the updated laser-etched graphics, ensuring the long life of their striking design.
Additional Item Top Features:
Tyre Size: 700c
Tyre Type: 2-Way Fit Ready (Clincher/Tubeless Ready)
Brake Compatibility: Disc brake, AFS
Spokes Material: Stainless Steel
Spokes Profile Technology: Rounded, straight pull
Front Wheel Spokes: 24 (Left: 16; Right: 8)
Rear Wheel Spokes: 24 (Left: 8; Right: 16)
Nipples Material: Aluminium
Hubs: Aluminium, Aluminium flanges
Bearings: Sealed cartridge bearings, adjustable
Freehub Compatibility: Multiple options available to select
Finish: Lasered + Stickers
Max System Weight Limit: 120kg
Technologies:
Anti-Rotation System: This new system raises the concept of spoking to a new level of performance for road bike and triathlon wheels ( and MTB too). The Fulcrum engineers have redesigned the spokes and the hub housings to create a solid and unmoveable whole. The result is that the spokes will never lose their initial tension, thus keeping the wheel perfectly reactive and centred. The spokes will remain in the position that has been studied in the wind tunnel tests to ensure the best aerodynamic penetration possible.
Fulcrum Identification Card (F.I.C.) 100% Handmade Quality: Right from its inception Fulcrum has been marked by a feature that continues to this day: that is to design, prototype and industrialise all the wheels characterised by the red “F”.
Indeed these take shape inside of the R&D, the leading-edge department that represents the beating heart of the Italian company. Every single component of the wheel, the materials chosen and the technologies applied are the tangible result of the effort that Fulcrum makes every day to give you maximum performance and reliability.
AFS Axle System: The Axial Fixing System is the solution developed by Fulcrum to fix the disc brake to the hub. The constraint granted by the butt area of the release mechanism, greater than in familiar standard ones, makes it possible to obtain greater structural rigidity and therefore more precise and powerful braking.
Asymmetric Rim: The asymmetry is designed to improve rim tension, balancing the forces from brakes and sprocket cassette.
2-Way Fit Ready: This procedure transforms Racing 5 DB wheels (designed to be used with a clincher tyre and inner tube) into tubeless ready wheels (i.e. with a Tubeless Easy tyre, no inner tube and compulsory use of a sealant liquid). Use of tubeless and tubeless ready tyres is forbidden on 2-way Fit Ready rims without official Fulcrum 2-way Fit Ready adhesive tape. This model comes with tubeless type installed and valves included.
Manufacturer’s Part Numbers:
FULCWF3970AP8A110 Black 700c
FULCWF3970AP1A110 Black 700c
FULCWF3970AP5A110 Black 700c",https://www.wiggle.com//p/fulcrum-racing-5-disc-road-wheelset,"Campagnolo N3W, Shimano/SRAM HG, SRAM XDR",£189.99 - £294.99,wiggle
Prime Attaquer  Disc Alloy Wheelset,"Ideally suited for hilly races, gravel and fast training rides, this wheelset comes equipped with two 6069 aluminium rims for the best balance of strength and durability on mixed terrains. Prime has also kitted out this updated model with a 21mm internal rim width and a 25mm rim depth for more balanced and consistent rolling performance. Another highlight is it’s tubeless ready, so you can enjoy tubeless advantages such as lower rolling resistance, improved traction and fewer chances of punctures.
Aerodynamic, Stiff and Reactive
With the use of DT Swiss straight pull spokes, not only is aerodynamics improved, the Prime Attaquer Disc Alloy Wheelset is also stiffer and more reactive, so if you’re in the market for a high-end alloy wheelset, look no further.
Star Ratchet Hubs
Another standout feature of this alloy road wheelset is its Star Rachet hubs. These provide superior reliability, due to each of the ratchets engaging simultaneously every time. Featuring an incorporated notch, the newly developed shape of the end caps simplifies disassembly significantly and therefore makes maintenance even easier. Tool-free freehub conversion is also possible.
Optimal Braking Performance
Disc brakes generate an incredible amount of stopping power, even in wet conditions, so you can fly up the hills and descend with confidence knowing that when you pair your favourite brakes to this set, you’re going to get the control you need to succeed. This model is Centre Lock disc brake mount compatible.
In The Box:
4 spare spokes & nipples
Tubeless Valves
QR Skewers
10 speed spacer
15mm thru axle end caps
QR end caps
Spares (available separately)
54 Tooth Star Ratchet Upgrade Kit Black One Size
SR Hub Bushing Black 12mm
Star Ratchet Grease Neutral <100ml
SR1D 12mm Front End Caps Black 12mm
SR1D 15mm Front End Caps Black 15mm
SR1D Front Axle Silver 12 x 135mm
SR1D QR Front End Caps Black QR
SR1D 12mm Rear End Caps Black 12mm
SR1D QR Rear End Caps Black QR
SR1D Rear Axle Silver 12 x 142mm
SR Freehub Body - Campagnolo Black 9/10/11 Speed
SR Freehub Body - Campagnolo 13 Speed Black 13 Speed
SR Freehub Body - Shimano Black 9/10/11 Speed
SR Freehub Body - XDR Black 12 Speed",https://www.wiggle.com//p/prime-attaquer-disc-alloy-wheelset,Shimano/SRAM HG,£249.99,wiggle
Campagnolo Zonda C17 Wheelset,"The completely redesigned rim for the Campagnolo Zonda C17 road wheels takes its design inspiration from the growing trend that sees the use of increasingly wider tyres, with 25mm clinchers becoming the standard if not the new minimum sizing for road riding and racing. With this increased popularity of both 25mm and 28mm tyres, the wheel needs to be designed in a way to optimise the tyre/wheel interface.
The updated wider rim on the Campagnolo Zonda C17 wheelset ensures a more efficient shape of the tyre, improving cornering grip and safety while reducing aerodynamic drag and rolling resistance. This seemingly small increase in width offers a surprisingly different riding experience, one that is sure to leave any cyclist pleasantly convinced that this change is for the best. The C17 rim has also been structurally optimised and ensures a surefooted grip on clincher tyres, as well as even better braking, feel when compared with previous versions.",https://www.wiggle.com//p/campagnolo-zonda-c17-wheelset,"Campagnolo, Shimano/SRAM HG",£359.99 - £408.27,wiggle
Campagnolo Bora WTO 45 Wheelset,"The Campagnolo Bora WTO 45 features advanced carbon rims for unrivalled stiffness, lightness and handling ability when hitting top speeds on your road bike. Designed to provide maximum aerodynamic qualities, at particular angles, they harness the power of the wind to propel you to road-riding excellence.
Carbon Fibre Fast-Rolling Road Wheelset
The front wheel is equipped with 18 steel spokes and the rear has 21, with differing patterns allowing them to efficiently slice through the air. Measuring a 19mm internal rim width, 23mm, 25mm and 28mm tyres can be fitted to the Two-Way Fit Campagnolo Bora WTO 45 wheelset, which is compatible with tubeless and clincher tyres for ultimate versatility. An AC3 (All Conditions Carbon Control) treatment aids outstanding rim braking performance in all conditions, rounding out this superb set of aerodynamic racing wheels.
Included:

Special brake block kit for carbon wheels (red compound): 40% better braking performance in wet conditions and 20% better in dry.
Lightweight Quick Release wheels with an aerodynamic profile and shiny finish.
Tubeless valves with valve extenders
Bushing to reduce the size of the valve hole
2 levers in composite material for tyre removal
User manual",https://www.wiggle.com//p/campagnolo-bora-wto-45-wheelset,"Campagnolo, Shimano/SRAM HG","£1,699.68 - £2,005.99",wiggle
Fulcrum Racing 6 C17 Road Wheelset,"2:1 Two-To-One
Every push on the pedals from the rider will force most of that energy on the drive side of the rear wheel. To combat this loss of rim tension and power transfer, Fulcrum has solved this cycling problem with their 2:1 spoke ratio pattern by doubling the spoke count in crucial zones on the wheel.
Anti-Rotation System
This system locks the spoke in place once the correct tension is achieved. Engineers at Fulcrum have designed this system to ensure the spokes never lose their initial tension and to remain in the position that has been proven to provide the perfect aerodynamic properties.
Rim Dynamic Balance
Simple and Elegant, the weight of the rim gasket is balanced on the opposite side with an item of similar weight.",https://www.wiggle.com//p/fulcrum-racing-6-c17-road-wheelset,"Campagnolo, Shimano/SRAM HG",£129.99 - £159.99,wiggle
Campagnolo Shamal Ultra C17 2-Way Fit Wheelset,Born as the very first complete wheelset with each component in its build being specifically designed as a complete unit to ensure unparalleled efficiency and performance the Shamal continued to introduce new technologies that would change the way aluminum performance wheels were produced. So advanced was the Shamal in its early stages that it was found also in World Tour competition often and to this day is still perhaps the most race ready aluminum wheelset available.,https://www.wiggle.com//p/campagnolo-shamal-ultra-c17-2-way-fit-wheelset,Shimano/SRAM HG,"£951.99 - £1,053.99",wiggle
